"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"464",138,2,1.45,TRUE,99205,"Spokane","Spokane",53063,"WA"
"465",166,2,1.2,TRUE,99206,"Spokane","Spokane",53063,"WA"
"466",75,2,2.67,TRUE,99207,"Spokane","Spokane",53063,"WA"
"467",353,3,0.85,TRUE,99208,"Spokane","Spokane",53063,"WA"
"468",175,4,2.29,TRUE,99212,"Spokane","Spokane",53063,"WA"
"469",93,7,7.53,TRUE,99216,"Spokane","Spokane",53063,"WA"
"470",82,1,1.22,TRUE,99217,"Spokane","Spokane",53063,"WA"
"471",63,5,7.94,TRUE,99218,"Spokane","Spokane",53063,"WA"
"472",313,0,0,FALSE,99223,"Spokane","Spokane",53063,"WA"
"473",202,23,11.39,TRUE,99224,"Spokane","Spokane",53063,"WA"
"474",388,10,2.58,TRUE,99301,"Pasco","Franklin",53021,"WA"
"475",48,1,2.08,TRUE,99320,"Benton city","Benton",53005,"WA"
"476",8,0,0,FALSE,99323,"Burbank","Walla Walla",53071,"WA"
"477",42,3,7.14,TRUE,99324,"College place","Walla Walla",53071,"WA"
"478",4,1,25,TRUE,99326,"Connell","Franklin",53021,"WA"
"479",13,3,23.08,TRUE,99328,"Dayton","Columbia",53013,"WA"
"480",4,0,0,FALSE,99330,"Eltopia","Franklin",53021,"WA"
"481",179,5,2.79,TRUE,99336,"Kennewick","Benton",53005,"WA"
"482",192,1,0.52,TRUE,99337,"Kennewick","Benton",53005,"WA"
"483",269,3,1.12,TRUE,99338,"Zcta 99338","Benton",53005,"WA"
"484",2,0,0,FALSE,99341,"Lind","Adams",53001,"WA"
"485",6,0,0,FALSE,99343,"Mesa","Franklin",53021,"WA"
"486",31,1,3.23,TRUE,99344,"Mattawa","Adams",53001,"WA"
"487",1,0,0,FALSE,99346,"Plymouth","Benton",53005,"WA"
"488",4,0,0,FALSE,99347,"Pomeroy","Garfield",53023,"WA"
"489",1,0,0,FALSE,99348,"Prescott","Walla Walla",53071,"WA"
"490",20,0,0,FALSE,99349,"Zcta 99349","Grant",53025,"WA"
"491",45,2,4.44,TRUE,99350,"Prosser","Benton",53005,"WA"
"492",452,7,1.55,TRUE,99352,"Richland","Benton",53005,"WA"
"493",161,0,0,FALSE,99353,"Zcta 99353","Benton",53005,"WA"
"494",1,0,0,FALSE,99356,"Roosevelt","Klickitat",53039,"WA"
"495",14,0,0,FALSE,99357,"Royal city","Grant",53025,"WA"
"496",4,0,0,FALSE,99360,"Lowden","Walla Walla",53071,"WA"
"497",11,1,9.09,TRUE,99361,"Waitsburg","Walla Walla",53071,"WA"
"498",264,21,7.95,TRUE,99362,"Walla walla","Walla Walla",53071,"WA"
